Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
268.318,9.49527,9.05259,8.64014,8.25727,7.90337,7.57787,7.28024,7.00998,6.76666,6.54986,6.35923,6.19445,6.05526,5.94142,5.85275,5.78914,5.75049,5.73677,5.74798,5.78419,5.8455,5.93207,6.04408,6.1818,6.34551,6.53555,6.75231,6.99622,7.26774,7.5674,7.89576,8.25341,8.64099,9.05919,9.50872,9.99033,10.5048,11.053,11.6357,12.2539,12.9085
282.361,10.2274,9.7695,9.34267,8.94627,8.57972,8.24247,7.934,7.65385,7.40159,7.17684,6.97924,6.8085,6.66437,6.54661,6.45507,6.38962,6.35019,6.33673,6.34926,6.38784,6.45256,6.54358,6.66109,6.80533,6.97657,7.17516,7.40144,7.65585,7.93883,8.25088,8.59254,8.96438,9.36701,9.8011,10.2673,10.7664,11.2991,11.8662,12.4685,13.107,13.7823
296.404,10.9772,10.5047,10.0641,9.65472,9.27603,8.9275,8.60865,8.31902,8.0582,7.82583,7.62157,7.44513,7.29627,7.17479,7.08051,7.01333,6.97316,6.95998,6.9738,7.01467,7.0827,7.17802,7.30082,7.45133,7.62983,7.83662,8.07207,8.33657,8.63055,8.9545,9.30892,9.69438,10.1115,10.5608,11.043,11.5589,12.109,12.6943,13.3154,13.9732,14.6685
310.447,11.744,11.2575,10.8037,10.3819,9.99153,9.63219,9.30338,9.00467,8.73565,8.49598,8.28534,8.10345,7.95008,7.82503,7.72815,7.65932,7.61848,7.60558,7.62066,7.66375,7.73496,7.83442,7.96232,8.11887,8.30434,8.51903,8.76328,9.03747,9.34202,9.67739,10.0441,10.4426,10.8735,11.3375,11.8351,12.367,12.9339,13.5365,14.1757,14.852,15.5665
324.49,12.5272,12.0273,11.5607,11.127,10.7255,10.3558,10.0174,9.70999,9.43312,9.18646,8.96971,8.78261,8.62492,8.49647,8.3971,8.32671,8.28522,8.27262,8.28892,8.33416,8.40844,8.5119,8.6447,8.80706,8.99923,9.2215,9.4742,9.7577,10.0724,10.4187,10.7972,11.2082,11.6525,12.1305,12.6428,13.1901,13.7731,14.3924,15.0488,15.743,16.4758
338.533,13.3261,12.8133,12.3346,11.8893,11.4771,11.0975,10.75,10.4342,10.1498,9.89646,9.67386,9.48176,9.31995,9.18824,9.0865,9.01462,8.97254,8.96023,8.97771,9.02503,9.10227,9.20957,9.34708,9.51503,9.71364,9.94319,10.204,10.4964,10.8209,11.1777,11.5675,11.9906,12.4476,12.939,13.4654,14.0275,14.6259,15.2612,15.9341,16.6454,17.3958
352.576,14.1401,13.6149,13.1245,12.6683,12.2458,11.8567,11.5004,11.1766,10.885,10.6252,10.397,10.2001,10.0344,9.89953,9.79552,9.72223,9.67959,9.66757,9.6862,9.73551,9.81561,9.9266,10.0686,10.242,10.4468,10.6833,10.9519,11.2529,11.5867,11.9537,12.3542,12.7889,13.2581,13.7624,14.3024,14.8787,15.4918,16.1425,16.8313,17.559,18.3262
366.619,14.9686,14.4316,13.9299,13.4632,13.0309,12.6326,12.2679,11.9364,11.6379,11.3719,11.1384,10.9369,10.7674,10.6296,10.5234,10.4487,10.4056,10.3938,10.4136,10.4648,10.5477,10.6622,10.8086,10.9871,11.1978,11.4411,11.7172,12.0264,12.3692,12.7458,13.1568,13.6025,14.0834,14.6002,15.1532,15.743,16.3703,17.0357,17.7397,18.4831,19.2665
380.662,15.811,15.2626,14.7502,14.2733,13.8316,13.4245,13.0518,12.7129,12.4078,12.136,11.8972,11.6914,11.5182,11.3776,11.2693,11.1934,11.1497,11.1383,11.1591,11.2122,11.2976,11.4156,11.5662,11.7496,11.966,12.2158,12.499,12.8162,13.1675,13.5535,13.9744,14.4307,14.923,15.4516,16.017,16.6199,17.2608,17.9402,18.6589,19.4173,20.2162
394.705,16.6667,16.1074,15.5847,15.0982,14.6474,14.2319,13.8514,13.5055,13.194,12.9165,12.6729,12.4628,12.2862,12.1428,12.0326,11.9554,11.9113,11.9001,11.9219,11.9768,12.0648,12.1861,12.3407,12.5288,12.7508,13.0067,13.2968,13.6216,13.9812,14.376,14.8065,15.2731,15.7761,16.3161,16.8935,17.5089,18.1628,18.8557,19.5884,20.3613,21.175
